id,name,stopNumber,latitude,longitude,shelter
2af84cd9-d5ee-4509-888d-dc1a7a396736,Rue des Cotils,2587,49.20655041,-2.11328828,
2bbbfb86-b5e6-4605-8fa8-034da39dcec1,Trinity Youth Club N,3929,49.23468638,-2.09161438,
2c062058-cbd0-4032-ba78-059e38634fb8,Belval S,2672,49.22197571,-2.02619685,
2c46efd2-031d-47e8-a329-bd9ed6366dea,St Marys Church W,3792,49.23504365,-2.17288969,
2c648e67-fd64-4938-a0e0-8066bf8aa73f,R. J. Showground N,4357,49.23177337,-2.09341407,
2ccc58e0-a235-40b4-9b5f-c422f0f060e3,La Hougue Bie E,2858,49.20091526,-2.06361906,
2ce8238d-3944-47b6-b327-548a4ace701b,Five Mile Avenue S,2369,49.22672149,-2.23064702,
2d2090ea-b99e-40e2-b7f1-15afdfc03132,Jersey War Tunnels,3973,49.20915387,-2.15337938,1
2ddc172e-0f2c-40e9-8b27-86505b6aba78,Le Bu de la Rue,4368,49.21679104,-2.12637137,
2e5d6458-db3c-4685-a283-b580b213df1a,Cannon Street,4654,49.18772851,-2.10948374,
2f014eaf-c737-4a2b-acdc-cd931c96983f,Overdale Hospital,3498,49.19144694,-2.1164537,
2f478a2e-9a87-4ea8-a8c7-97fb43e04be6,Millennium Park S,4675,49.18739633,-2.10255274,
2f7a23ab-25a4-4a04-ba6e-73ed671e63f4,Clinique Pinel,3838,49.20265783,-2.04633938,
3079510d-7150-4415-840a-ac8fc4eaab8a,Rue des Brulees N,4253,49.22558019,-2.09364822,
30b72f34-21f0-432c-a6c7-946e3249dbbe,La Pellerie W,4268,49.24482949,-2.09385175,
30fe486d-71e4-47ca-bff5-30ac4f3b87a2,The Old Forge E,4294,49.24024034,-2.10425547,
3115dc82-fbd4-4eb4-b325-112919d71691,Maufant Village N,3892,49.20950914,-2.06286665,
316c9f07-f1bb-4a42-b57b-86863f32b0e8,Bethlehem Chapel W,2396,49.23504393,-2.17051956,
319401e5-4deb-4a5b-b5d0-4d522937671e,La Pellerie E,3639,49.24486845,-2.0938347,
31be0b4c-4d4d-464b-8061-3efaee51b557,Chemin du Moulin S,2634,49.23295369,-2.23254487,
31d614c0-2960-4671-9b43-012bc47690c4,Rue de la Haye,4592,49.21699519,-2.05303556,
3249c7ca-90c3-4333-9b80-5829d1599957,St Clement Gardens E,3758,49.17490047,-2.08532146,
327468c4-bbda-448e-a07c-e21a8bc00fef,Mont Fallu S,3828,49.20863418,-2.1754933,
327cbbfa-667d-4f83-b4f9-658eafe279a2,Birches Avenue W,2423,49.19613719,-2.08988165,
3292d67c-7683-4f0a-8dcf-8d59316e82bd,St Marys Church E,3794,49.23508337,-2.1729158,1
32b0fa36-68bb-4bc9-8091-6f61ba056c0e,Maison des Landes,3278,49.24444692,-2.24138446,
