id,createdAt,name,payByPhoneCode,owner,type,surfaceType,multiStorey,latitude,longitude,paymentMethods,spaces,disabledSpaces,parentChildSpaces,electricChargingSpaces,liveTrackingCode,notes,ownerName
a3003f1c-a36f-4c77-aa0b-edc89a3e34e4,2024-06-11T10:02:48.000Z,Red Houses Upper,59828,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.190883,-2.200871,"SEASON_TICKET,PAY_BY_PHONE,PAYCARD",35,0,0,0,,,Government of Jersey
a7da2122-1121-4b50-8287-844ac82567be,2024-06-11T10:02:48.000Z,"Bouley Bay, Water's Edge Hotel",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.238592,-2.081665,,6,1,0,0,,,Government of Jersey
ae3a7109-208c-4d61-ad50-3a002330688a,2024-06-11T10:02:48.000Z,La Pulente Sand Dunes,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.191058,-2.227355,,103,0,0,0,,,Government of Jersey
b2a45460-0fdf-4861-b398-f56f17acf260,2024-06-11T10:02:48.000Z,La Mare Common,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.16569,-2.081029,,68,0,0,0,,,Government of Jersey
b62ca837-2266-4bcf-97d2-3efdf903246c,2024-06-11T10:02:48.000Z,Le Hocq,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.167549,-2.061943,,63,0,0,0,,,Government of Jersey
b8047670-f070-4bb3-ae78-5241deef2eb9,2024-06-11T10:02:48.000Z,Charles Street,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",SHORT_STAY,CONCRETE,,49.185883,-2.100939,"PAY_BY_PHONE,PAYCARD",137,4,4,2,CHARLESSTREET,"Chargeable from 8am to 8pm, 7 days a week, all year around, unlike similar car parks",Government of Jersey
b81988b7-d294-4000-a69e-77d99d258b04,2024-06-11T10:02:48.000Z,Green Street MS,59812,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,CONCRETE,1,49.181321,-2.102141,"PAY_BY_PHONE,SEASON_TICKET,PAYCARD",576,8,0,2,GREENST,,Government of Jersey
be07ded7-c219-4c9c-b8b4-109388780c98,2024-06-11T10:02:48.000Z,"La Parcage, La Rue Hilgove, Gorey Village",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.197981,-2.032546,,16,0,0,0,,,Government of Jersey
c10ed325-974f-4023-b4f8-67308ef8e477,2024-06-11T10:02:48.000Z,Le Hocq Slip,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.167156,-2.06198,,8,0,0,0,,,Government of Jersey
c11fbe7f-a1b4-426b-8695-8cfed35b29bd,2024-06-11T10:02:48.000Z,Gorey Common (Longbeach),,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,0,0,,137,2,2,2,,,Government of Jersey
